ARS	Name	Typ	URI	Aufgaben Kreis	Aufgaben Gemeinde
01051	Dithmarschen	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01051	1	0
01053	Herzogtum Lauenburg	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01053	1	0
01054	Nordfriesland	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01054	1	0
01055	Ostholstein	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01055	1	0
01056	Pinneberg	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01056	1	0
01057	Plön	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01057	1	0
01058	Rendsburg-Eckernförde	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01058	1	0
01059	Schleswig-Flensburg	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01059	1	0
01060	Segeberg	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01060	1	0
01061	Steinburg	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01061	1	0
01062	Stormarn	Kreis	http://dcat-ap.de/def/politicalGeocoding/districtKey/01062	1	0
010010000	Flensburg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010010000	1	1
010020000	Kiel	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010020000	1	1
010030000	Lübeck	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010030000	1	1
010040000	Neumünster	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010040000	1	1
010510011	Brunsbüttel	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010510011	0	1
010510044	Heide	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010510044	0	1
010530032	Geesthacht	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530032	0	1
010530083	Lauenburg/Elbe	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530083	0	1
010530090	Mölln	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530090	0	1
010530100	Ratzeburg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530100	0	1
010530116	Schwarzenbek	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010530116	0	1
010540033	Friedrichstadt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010540033	0	1
010540056	Husum	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010540056	0	1
010540138	Tönning	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010540138	0	1
010550004	Bad Schwartau	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550004	0	1
010550012	Eutin	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550012	0	1
010550021	Heiligenhafen	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550021	0	1
010550032	Neustadt in Holstein	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550032	0	1
010550033	Oldenburg in Holstein	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550033	0	1
010550046	Fehmarn	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010550046	0	1
010560002	Barmstedt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560002	0	1
010560015	Elmshorn	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560015	0	1
010560039	Pinneberg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560039	0	1
010560041	Quickborn	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560041	0	1
010560044	Schenefeld	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560044	0	1
010560048	Tornesch	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560048	0	1
010560049	Uetersen	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560049	0	1
010560050	Wedel	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010560050	0	1
010570057	Plön	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570057	0	1
010570062	Preetz	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570062	0	1
010570091	Schwentinental	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010570091	0	1
010580034	Büdelsdorf	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580034	0	1
010580043	Eckernförde	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580043	0	1
010580135	Rendsburg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010580135	0	1
010590045	Kappeln	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010590045	0	1
010590075	Schleswig	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010590075	0	1
010590113	Glücksburg (Ostsee)	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010590113	0	1
010600004	Bad Bramstedt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600004	0	1
010600005	Bad Segeberg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600005	0	1
010600044	Kaltenkirchen	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600044	0	1
010600063	Norderstedt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600063	0	1
010600092	Wahlstedt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010600092	0	1
010610029	Glückstadt	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010610029	0	1
010610046	Itzehoe	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010610046	0	1
010610113	Wilster	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010610113	0	1
010620001	Ahrensburg	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620001	0	1
010620004	Bad Oldesloe	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620004	0	1
010620006	Bargteheide	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620006	0	1
010620060	Reinbek	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620060	0	1
010620061	Reinfeld (Holstein)	Stadt	http://dcat-ap.de/def/politicalGeocoding/municipalityKey/010620061	0	1
